	Värdeutveckling i SEK (%)							Fondavgift (%)			Sharpe-	Noterings-		Svensk/				
Amundi Funds Equity Global Conservative	-1	-1	3	-7	46			0,66	1,83	11,2	1,2	USD	2013	Utländsk	728824	Amundi Luxembourg S.A. 	Global	
SPP Aktiefond Europa	-7	-7	-4	-15	32	38	6,7	0,16	0,21	13,3	0,7	SEK	2000	Svensk	140673	SPP Fonder AB	Europa/Euroland Index	Fonden tar miljö och/eller etisk hänsyn
SPP Aktiefond Stabil	0	0	5	-5				0,22	0,72			SEK	2013	Svensk	912220	SPP Fonder AB	Global	Fonden tar miljö och/eller etisk hänsyn
SPP Global Topp 100	-1	-1	6	-10	44			0,23	0,77	12,3	1	SEK	2012	Svensk	184119	SPP Fonder AB	Global	Fonden tar miljö och/eller etisk hänsyn
Delphi Europe	-6	-6	-3	-11	45	36	6,3	0,39	2	13,2	1	NOK	2008	Utländsk	571695	Storebrand Asset Management AS	Europa	Fonden tar miljö och/eller etisk hänsyn
Delphi Global	-8	-8	-2	-12	54	63	10,3	0,42	2,26	12,7	1,2	NOK	2008	Utländsk	352468	Storebrand Asset Management AS	Global	Fonden tar miljö och/eller etisk hänsyn
Delphi Nordic	-2	-2	12	11	120	102	15,1	0,39	2	13,2	2,1	NOK	2008	Utländsk	388298	Storebrand Asset Management AS	Norden	Fonden tar miljö och/eller etisk hänsyn
Folksam LO Sverige	-4	-4	3	-9	40	55	9,1	0,18	0,43	13,5	0,9	SEK	2000	Svensk	976928	Swedbank Robur Fonder AB	Sverige	Fonden tar miljö och/eller etisk hänsyn
Folksam LO Västfonden	-3	-3	4	-8	41	56	9,3	0,18	0,44	13,4	0,9	SEK	2000	Svensk	905265	Swedbank Robur Fonder AB	Sverige	Fonden tar miljö och/eller etisk hänsyn
Carnegie Fund - Svensk kort ränte Sub-Fund	0	0	0	-1	1	6	1,3	0,17	0,5	0,4	0,4	SEK	2005	Utländsk	815894	Carnegie Fund Management Company S.A.	Sverige kort	
Zmart Alfa	1	1	6	4				0,83	2,25			SEK	2015	Svensk	778589	Zmartic Fonder AB	Global	
Handelsbanken Nordenfond	-4	-4	1	-9	48	52	8,7	0,37	1,62	12,5	1,1	SEK	2000	Svensk	811117	Handelsbanken Fonder AB	Norden	
FIM BRIC+ Placeringsfond	-5	-5	-7	-24	4	-18	-3,8	0,77	1,91	17,1	0,1	EUR	2007	Utländsk	670091	FIM Kapitalförvaltning Ab	Nya marknader	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Pension 2040	-5	-5	2	-11	38	54	9,1	0,2	0,45	12,3	0,9	SEK	2000	Svensk	635623	Länsförsäkringar Fondförvaltning AB (publ)	Pension om mer än 20 år	Fonden tar miljö och/eller etisk hänsyn
Evli High Yield SEK Hedged	1	1	3	1	19			0,36	0,95	4,3	1,3	SEK	2012	Utländsk	700310	Evli Fondbolag Ab	Europa och Euroland	
Länsförsäkringar Pension 2045	-5	-5	2	-11	38	54	9	0,2	0,46	12,3	0,9	SEK	2001	Svensk	832360	Länsförsäkringar Fondförvaltning AB (publ)	Pension om mer än 20 år	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Lång Räntefond	2	2	1	0	8	20	3,8	0,16	0,5	2,4	1	SEK	2001	Svensk	242081	Länsförsäkringar Fondförvaltning AB (publ)	Sverige lång	Fonden tar miljö och/eller etisk hänsyn
Aberdeen Global - European Equity Fund	-4	-4	-3	-17	17	32	5,7	0,6	1,7	13,6	0,4	EUR	2006	Utländsk	367698	Aberdeen International Fund Managers Ltd	Europa	
Aberdeen Global - Japanese Equity Fund	-5	-5	7	-10	43	79	12,3	0,59	1,67	16,7	0,8	JPY	2006	Utländsk	757575	Aberdeen International Fund Managers Ltd	Japan	
Aktia Capital	-2	-2	4	-8	51	27	4,9	0,74	1,83	13,8	1	EUR	2000	Utländsk	182584	Aktia Fondbolag Ab	Övriga länder	
SPP Generation 40-tal	0	0	1	-4	18	31	5,5	0,18	0,41	4,2	1,2	SEK	2000	Svensk	391482	SPP Fonder AB	Pension om mindre än 10 år	Fonden tar miljö och/eller etisk hänsyn
SPP Generation 80-tal	-4	-4	1	-12	38	51	8,6	0,18	0,41	11,7	1	SEK	2000	Svensk	844522	SPP Fonder AB	Pension om mer än 20 år	Fonden tar miljö och/eller etisk hänsyn
SPP Generation 70-tal	-4	-4	1	-12	38	51	8,5	0,18	0,41	11,7	1	SEK	2000	Svensk	498972	SPP Fonder AB	Pension om mer än 20 år	Fonden tar miljö och/eller etisk hänsyn
SPP Generation 60-tal	-4	-4	1	-11	37	53	8,9	0,18	0,41	11,2	1	SEK	2000	Svensk	463141	SPP Fonder AB	Pension om mindre än 20 år	Fonden tar miljö och/eller etisk hänsyn
Swedbank Robur Transfer 70	-3	-3	-1	-7	23	37	6,5	0,19	0,54	7,3	0,9	SEK	2004	Svensk	783720	Swedbank Robur Fonder AB	Pension om mer än 20 år	
Danske Invest Sverige Ränta	1	1	1	0	11	20	3,7	0,24	0,6	3,5	1	SEK	2000	Svensk	901603	Danske Capital AB	Sverige lång	
IKC Asien	3	3	3	-16				0,78	2,39			SEK	2014	Svensk	910398	IKC Fonder AB	Asien och Fjärran östern	
Inside Australia	3	3	11	-7	6			0,7	1,72	17,7	0,2	SEK	2012	Svensk	154369	Insiderfonder AB	Övriga länder	
Advisor Världen	-9	-9	-2	-8	23			0,73	2,25	11,7	0,6	SEK	2011	Svensk	874032	Advisor Fondförvaltning AB	Global	
SEB Green Bond Fund	1	1	1	2	27	33	5,8	0,16	0,48	6,6	1,2	SEK	2015	Utländsk	405704	SEB Asset Management S.A.	Övriga utländska	Fonden tar miljö och/eller etisk hänsyn
Franklin European Growth Fund	-5	-5	-4	-12	24	53	8,9	0,74	1,83	12,4	0,6	EUR	2005	Utländsk	666495	Franklin Templeton Investment Management Ltd	Europa	
Franklin India Fund	-4	-4	-6	-17	62	40	6,9	0,76	1,89	23,1	0,8	USD	2007	Utländsk	170894	Franklin Templeton Investment Management Ltd	Övriga länder	
Franklin Mutual Global Discovery Fund	-5	-5	-1	-14	34	50	8,4	0,74	1,83	12,8	0,8	USD	2006	Utländsk	717496	Franklin Templeton Investment Management Ltd	Global	
Franklin US Equity Fund	-7	-7	-5	-16	51	76	11,9	0,73	1,82	14,9	1	USD	2005	Utländsk	563254	Franklin Templeton Investment Management Ltd	Nordamerika och USA	
Franklin U.S. Opportunities Fund	-9	-9	-4	-13	64	88	13,5	0,73	1,81	15,2	1,2	USD	2005	Utländsk	384107	Franklin Templeton Investment Management Ltd	Nordamerika och USA	
Carnegie Afrikafond	-1	-1	-12	-31	-15	-13	-2,8	0,49	2,62	15,4	-0,3	SEK	2006	Svensk	184291	Carnegie Fonder AB	Nya marknader	
Carnegie Emerging Markets	-6	-6	-6	-28	-10	-18	-4	0,42	1,84	15,7	-0,2	SEK	2000	Svensk	285825	Carnegie Fonder AB	Nya marknader	
Carnegie Fund - WorldWide Ethical	-10	-10	-4	-13	55	66	10,7	0,39	1,62	13,6	1,1	SEK	2008	Utländsk	106492	Carnegie Fund Management Company S.A.	Global	Fonden tar miljö och/eller etisk hänsyn
Carnegie Fund - WorldWide Sub-Fund	-9	-9	-2	-12	51	75	11,9	0,39	1,62	13,9	1	SEK	2000	Utländsk	384818	Carnegie Fund Management Company S.A.	Global	
Handelsbanken Kinafond	-5	-5	1	-15				0,42	1,93			SEK	2014	Svensk	617670	Handelsbanken Fonder AB	Kina	
Handelsbanken Svenska Småbolagsfond	-3	-3	14	11	95	118	16,9	0,36	1,55	14,9	1,6	SEK	2000	Svensk	952010	Handelsbanken Fonder AB	Sverige småbolag	
CB European Quality Fund	-6	-6	0	-7	23	36	6,4	0,87	2,2	12,8	0,6	EUR	2001	Utländsk	309492	CB Asset Management AB	Europa	Fonden tar miljö och/eller etisk hänsyn
Cicero SRI Sverige	-4	-4	4	-7	54	55	9,2	0,5	1,22	14,1	1,1	SEK	2000	Svensk	739458	Cicero Fonder AB	Sverige	Fonden tar miljö och/eller etisk hänsyn
Credit Suisse (Lux) European Property Equity Fund	-4	-4	-4	-6	71	69	11	0,85	2,16	15,6	1,2	EUR	2004	Utländsk	665315	Credit Suisse Fund Management S.A.	Övriga branscher	
SEB Emerging Marketsfond	2	2	-1	-21	-2	-6	-1,2	0,42	1,77	15,9	0	SEK	2002	Svensk	950774	SEB Investment Management AB	Nya marknader	
Alfred Berg Bear	2	2	-1	11				0,41	0,97			SEK	2015	Svensk	186478	Alfred Berg Fonder AB	Sverige	
Länsförsäkringar Sverige och Världen	-4	-4	0	-13	33	45	7,7	0,36	1,52	12,2	0,8	SEK	2000	Svensk	563965	Länsförsäkringar Fondförvaltning AB (publ)	Global	Fonden tar miljö och/eller etisk hänsyn
Coeli - Nordic Corporate Bond Fund	0	0	0	0				0,42	1,43			SEK	2015	Utländsk	386870	MDO Management Company S.A.	Övriga utländska	Fonden tar miljö och/eller etisk hänsyn
Coeli - Sweden Fund	-2	-2	4	-10				0,74	1,82			SEK	2015	Utländsk	351049	MDO Management Company S.A.	Sverige	Fonden tar miljö och/eller etisk hänsyn
Öhman FRN-fond SEK A	-1	-1	-1	-1	4			0,21	0,61	0,9	1,2	SEK	2013	Svensk	660829	E. Öhman J:or Fonder AB	Sverige kort	Fonden tar miljö och/eller etisk hänsyn
Öhman Företagsobligationsfond 2 A	1	1	0	-1	8			0,22	0,64	1,7	1,4	SEK	2013	Svensk	624999	E. Öhman J:or Fonder AB	Sverige lång	Fonden tar miljö och/eller etisk hänsyn
Öhman Global Hållbar A	-7	-7	1	-11				0,45	1,57			SEK	2015	Svensk	869073	E. Öhman J:or Fonder AB	Global	Fonden tar miljö och/eller etisk hänsyn
Öhman Realräntefond A	3	3	3	-3	7	17	3,1	0,23	0,71	5,2	0,4	SEK	2009	Svensk	189662	E. Öhman J:or Fonder AB	Sverige realränta	Fonden tar miljö och/eller etisk hänsyn
Öhman Småbolagsfond A	-1	-1	11	7	80	96	14,4	0,44	1,5	14,2	1,4	SEK	2000	Svensk	694539	E. Öhman J:or Fonder AB	Sverige småbolag	Fonden tar miljö och/eller etisk hänsyn
Öhman Sverigefond 2 A	-4	-4	3	-10	32	37	6,5	0,39	1,26	13,4	0,7	SEK	2000	Svensk	730366	E. Öhman J:or Fonder AB	Sverige	Fonden tar miljö och/eller etisk hänsyn
Öhman Sverige Hållbar A	-4	-4	1	-12				0,45	1,53			SEK	2015	Svensk	904904	E. Öhman J:or Fonder AB	Sverige	Fonden tar miljö och/eller etisk hänsyn
Öhman Sweden Micro Cap	-5	-5	10	14	109	124	17,5	0,44	1,5	14,4	1,8	SEK	2006	Svensk	416867	E. Öhman J:or Fonder AB	Sverige småbolag	Fonden tar miljö och/eller etisk hänsyn
Handelsbanken Sverigefond	-5	-5	2	-9	41	54	9	0,31	1,18	13,5	0,9	SEK	2000	Svensk	916189	Handelsbanken Fonder AB	Sverige	
Handelsbankens Japanfond	-9	-9	0	-12	36	51	8,5	0,37	1,63	16	0,7	SEK	2003	Svensk	203182	Handelsbanken Fonder AB	Japan	
Handelsbankens Latinamerikafond	10	10	8	-13	-24	-22	-4,8	0,38	1,68	17,7	-0,4	SEK	2006	Svensk	679837	Handelsbanken Fonder AB	Latinamerika	
Handelsbankens Nordiska Småbolagsfond	-2	-2	9	4	77	73	11,6	0,38	1,66	13,1	1,5	SEK	2006	Svensk	751495	Handelsbanken Fonder AB	Norden	
Handelsbankens Östeuropafond	7	7	4	-10	-19	-28	-6,4	0,38	1,67	18,1	-0,3	SEK	2006	Svensk	715664	Handelsbanken Fonder AB	Östeuropa	
Handelsbanken Amerika Småbolag	-7	-7	-6	-13				0,37	1,61			SEK	2013	Utländsk	821736	Handelsbanken Funds	Nordamerika och USA småbolag	
HealthInvest Value Fund	-11	-11	-7	-19				0,89	5,99			SEK	2013	Svensk	396028	HealthInvest Partners AB	Läkemedel	Fonden tar miljö och/eller etisk hänsyn
Norron Sicav-Target	-3	-3	0	-3	13	21	3,8	0,58	1,39	4,4	0,9	SEK	2012	Utländsk	133116	SEB Fund Services S.A.	Svenska och utländska aktier samt svenska räntor	
East Capital Balkanfonden	4	4	5	-5	19	-5	-1	0,77	2,52	12,4	0,5	SEK	2004	Svensk	872382	East Capital Asset Management S.A.	Östeuropa	
East Capital Baltikumfonden	2	2	2	-4	8	2	0,4	0,77	2,56	7,3	0,3	SEK	2003	Svensk	552984	East Capital Asset Management S.A.	Östeuropa	
Evli Sverige Select	-3	-3	4	-5				0,53	1,4			SEK	2013	Utländsk	646240	Evli Fondbolag Ab	Sverige	
Evli Sverige Småbolag	-3	-3	10	10	97	123	17,4	0,59	1,6	15,2	1,6	SEK	2008	Utländsk	420463	Evli Fondbolag Ab	Sverige småbolag	
Evli Statsobligation	4	4	1	0	28	33	5,9	0,27	0,65	5,9	1,4	EUR	2000	Utländsk	426726	Evli Fondbolag Ab	Europa och Euroland	
Evli Likviditet	0	0	0	0				0,16	0,3			SEK	2013	Utländsk	574582	Evli Fondbolag Ab	Övriga utländska	
Evli High Yield	2	2	2	0	30	37	6,5	0,36	0,95	5,8	1,5	EUR	2001	Utländsk	549972	Evli Fondbolag Ab	Europa och Euroland	
Carnegie Asia	-2	-2	2	-15	32	21	3,9	0,45	1,98	13,6	0,7	SEK	2004	Svensk	838383	Carnegie Fonder AB	Asien och Fjärran östern	
Carnegie Indienfond	-7	-7	-8	-19	62	35	6,2	0,49	2,28	22,9	0,8	SEK	2004	Svensk	505586	Carnegie Fonder AB	Övriga länder	
Carnegie Rysslandsfond	5	5	6	-2	-7	-25	-5,7	0,49	2,62	23,6	0	SEK	2000	Svensk	249995	Carnegie Fonder AB	Ryssland	
Carnegie Småbolagsfond	-4	-4	13	12	115			0,39	1,64	13,9	1,9	SEK	2013	Svensk	584912	Carnegie Fonder AB	Sverige småbolag	
Carnegie Sverigefond	-1	-1	4	-8	52	72	11,5	0,36	1,44	13,2	1,1	SEK	2000	Svensk	393314	Carnegie Fonder AB	Sverige	
Carnegie Fund - Medical Sub-Fund	-18	-18	-11	-26	58	111	16,1	0,41	1,72	18,6	0,9	SEK	2000	Utländsk	313155	Carnegie Fund Management Company S.A.	Läkemedel	
Handelsbankens Läkemedelsfond	-12	-12	-6	-18	70	135	18,7	0,36	1,55	16,1	1,2	SEK	2006	Svensk	644005	Handelsbanken Fonder AB	Läkemedel	
Tellus Investmentbolag	-4	-4	-2	-15	11			0,44	0,99	11,5	0,3	SEK	2014	Svensk	269704	Tellus Fonder AB	Global	Fonden tar miljö och/eller etisk hänsyn
Öhman Utlandsfond A	-7	-7	0	-13	43	64	10,4	0,39	1,25	13,6	0,9	SEK	2003	Svensk	936781	E. Öhman J:or Fonder AB	Global	Fonden tar miljö och/eller etisk hänsyn
INVL Baltic Fund	5	5	4	2	16	-1	-0,2	0,89	2,29	7,7	0,6	EUR	2010	Utländsk	772038	INVL Asset Management UAB	Östeuropa	
INVL Emerging Europe Bond Subfund 	3	3	2	5	25	33	5,9	0,42	1,25	4,3	1,7	EUR	2013	Utländsk	989962	INVL Asset Management UAB	Övriga utländska	
INVL Russia TOP20 Subfund	13	13	13	-1	-12	-30	-6,8	0,85	2,14	28	0	EUR	2013	Utländsk	125799	INVL Asset Management UAB	Ryssland	
F&C Portfolios Fund - European High Yield Bond	3	3	3	0	29	40	7	0,42	1,58	6,2	1,4	EUR	2008	Utländsk	873505	F&C Management Ltd.	Europa och Euroland	
F&C Portfolios Fund - Emerging Markets Bond	3	3	4	-4	28	64	10,4	0,42	1,56	10,2	0,8	USD	2008	Utländsk	909333	F&C Management Ltd.	Övriga utländska	
F&C Portfolios Fund - European Equity A	-7	-7	-4	-12	39	70	11,2	0,69	1,7	13	0,9	EUR	2008	Utländsk	188482	F&C Management Ltd.	Europa	
F&C Portfolios Fund - European Small Cap A	-7	-7	-3	-6	62	106	15,5	0,74	1,84	12,3	1,4	EUR	2008	Utländsk	152652	F&C Management Ltd.	Europa/Euroland småbolag	
F&C Portfolios Fund - Japanese Equity A	-9	-9	1	-12	41	50	8,5	0,78	1,96	16,2	0,8	EUR	2008	Utländsk	367631	F&C Management Ltd.	Japan	
F&C Portfolios Fund - F&C Responsible Global Equity	-6	-6	-1	-10	48	68	11	0,72	1,78	12	1,1	EUR	2008	Utländsk	224311	F&C Management Ltd.	Global	Fonden tar miljö och/eller etisk hänsyn
F&C Portfolios Fund - Global Convertible Bond A	-4	-4	-3	-8	33	37	6,5	0,42	1,24	7,6	1,3	EUR	2008	Utländsk	945162	F&C Management Ltd.	Övriga utländska	
F&C Portfolios Fund - US Smaller Companies A	-3	-3	2	-10	47	92	13,9	0,85	2,14	15	0,9	USD	2008	Utländsk	116822	F&C Management Ltd.	Nordamerika och USA småbolag	
Handelsbanken Företagsobligation	1	1	0	-1				0,23	0,95			SEK	2014	Svensk	653501	Handelsbanken Fonder AB	Övriga utländska	
Independent Aktiv Mix	-4	-4	-5	-10	2			0,62	1,8	5,1	0,1	SEK	2012	Utländsk	961573	Lantern Structured Asset Management	Utländska aktier och räntor	
Swedbank Robur Mixfond Pension	-1	-1	0	-6	28	45	7,7	0,18	0,43	6,6	1,2	SEK	2000	Svensk	749192	Swedbank Robur Fonder AB	Utländska aktier och räntor	
Danske Invest Global Index	-5	-5	1	-9	50	73	11,6	0,25	0,5	12	1,2	SEK	2000	Svensk	252411	Danske Capital AB	Global	
Länsförsäkringar Tillväxtmarknad Index	2	2	2	-18				0,2	0,47			SEK	2014	Svensk	434274	Länsförsäkringar Fondförvaltning AB (publ)	Nya marknader	Fonden tar miljö och/eller etisk hänsyn
Aktiespararna Topp Sverige	-4	-4	-2	-16	26	43	7,4	0,2	0,31	13,5	0,6	SEK	2000	Svensk	290072	Aktieinvest Fonder AB	Sverige index	
Länsförsäkringar Asienfond	-3	-3	0	-18	21	16	3	0,37	1,61	15,3	0,5	SEK	2001	Svensk	385401	Länsförsäkringar Fondförvaltning AB (publ)	Asien och Fjärran östern	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Japanfond	-11	-11	-1	-16				0,36	1,54			SEK	2014	Svensk	470104	Länsförsäkringar Fondförvaltning AB (publ)	Japan	Fonden tar miljö och/eller etisk hänsyn
Navigera Aktie	-6	-6	1	-14	29			0,72	2,05	13,8	0,7	SEK	2011	Svensk	339002	Navigera AB	Global	
Navigera Balans	-3	-3	0	-9	13			0,56	1,97	7,3	0,6	SEK	2011	Svensk	172601	Navigera AB	Utländska aktier och räntor	
